id,author,birthDate,deathDate,gender,birthPlace,last,first,birthYear,deathYear
1176,シェリーメアリー・ウォルストンクラフト,1797-08-30,1851-02-01,female,Somers Town,Shelley,Mary Wollstonecraft,1797,1851
168,横光利一,1898-03-17,1947-12-30,male,会津若松市,Yokomitsu,Riichi,1898,1947
160,海野十三,1897-12-26,1949-05-17,male,徳島市,Unno,Juza,1897,1949
280,徳冨蘆花,1868-12-08,1927-09-18,male,水俣市,Tokutomi,Roka,1868,1927
269,高神覚昇,1894-00-00,1948-00-00,male,Aichi,Takagami,Kakusho,1894,1948
13,八木重吉,1898-02-09,1927-10-26,male,多摩地域,Yagi,Jukichi,1898,1927
264,シェークスピアウィリアム,1546-00-00,1616-00-00,male,Stratford-upon-Avon,Shakespeare,William,1546,1616
1529,作者不詳,,,unknown,,Sakushafusho,,,
575,佐藤紅緑,1874-07-06,1949-06-03,male,親方町,Sato,Koroku,1874,1949
933,折口信夫,1887-02-11,1953-09-03,male,大阪市,Orikuchi,Shinobu,1887,1953
1048,アミーチスエドモンド・デ,1846-10-31,1908-03-11,male,Oneglia,Amicis,Edmondo De,1846,1908
40,織田作之助,1913-10-26,1947-01-10,male,大阪市,Oda,Sakunosuke,1913,1947
76,岡本かの子,1889-03-01,1939-02-18,female,赤坂,Okamoto,Kanoko,1889,1939
245,加藤文太郎,1905-03-11,1936-01-05,male,兵庫県,Kato,Buntaro,1905,1936
1120,須川邦彦,1880-00-00,1949-00-00,male,,Sugawa,Kunihiko,1880,1949
1562,吉川英治,1892-08-11,1962-09-07,male,横浜市,Yoshikawa,Eiji,1892,1962
182,西田幾多郎,1870-06-17,1945-06-07,male,かほく市,Nishida,Kitaro,1870,1945
291,林芙美子,1903-12-31,1951-06-28,female,下関市,Hayashi,Fumiko,1903,1951
305,正岡子規,1867-10-14,1902-09-19,male,松山市,Masaoka,Shiki,1867,1902
106,北原白秋,1885-01-25,1942-11-02,male,南関町,Kitahara,Hakushu,1885,1942
5,ツルゲーネフイワン,1818-11-09,1883-09-03,male,Oryol,Turgenev,Ivan,1818,1883
885,与謝野晶子,1878-12-07,1942-05-29,female,堺市,Yosano,Akiko,1878,1942
283,中里介山,1885-04-04,1944-04-28,male,羽村市,Nakazato,Kaizan,1885,1944
1266,牧野富太郎,1862-05-22,1957-01-18,male,佐川町,Makino,Tomitaro,1862,1957
1059,斎藤茂吉,1882-5-14,1953-2-25,male,上山市,Saito,Mokichi,1882,1953
250,河上肇,1879-10-20,1946-01-30,male,山口県,Kawakami,Hajime,1879,1946
1053,峠三吉,1917-02-19,1953-03-10,male,大阪市,Toge,Sankichi,1917,1953
1404,河口慧海,1866-02-26,1945-02-24,male,堺市,Kwaguchi,Ekai,1866,1945
118,長塚節,1879-04-03,1915-02-08,male,茨城県,Nagatsuka,Takashi,1879,1915
1072,和田万吉,1865-10-07,1934-11-21,male,大垣市,Wada,Mankichi,1865,1934
1395,和辻哲郎,1889-03-01,1960-12-26,male,姫路市,Watsuji,Tetsuro,1889,1960
126,田中英光,1913-01-10,1949-11-03,male,東京,Tanaka,Hidemitsu,1913,1949
14,村山槐多,1896-09-15,1919-02-20,male,額田郡,Murayama,Kaita,1896,1919
256,倉田百三,1891-02-23,1943-02-12,male,庄原市,Kurata,Hyakuzo,1891,1943
1341,永井荷風,1879-12-03,1959-04-30,male,東京,Nagai,Kafu,1879,1959
293,原民喜,1905-11-15,1951-03-13,male,広島市,Hara,Tamiki,1905,1951
372,桑原隲蔵,1871-01-27,1931-05-24,male,敦賀市,Kuwabara,Jitsuzo,1871,1931
34,内村鑑三,1861-03-26,1930-03-28,male,小石川,Uchimura,Kanzo,1861,1930
1028,イプセンヘンリック,1828-03-20,1906-05-23,male,Stockmanngården,Ibsen,Henrik,1828,1906
311,宮本百合子,1899-02-13,1951-01-21,female,小石川区,Miyamoto,Yuriko,1899,1951
82,岡本綺堂,1872-11-15,1939-03-01,male,高輪,Okamoto,Kido,1872,1939
1245,会津八一,1881-08-01,1956-11-21,male,新潟市,Aizu,Yaichi,1881,1956
1029,デカルトルネ,1596-00-00,1650-00-00,male,Descartes,Descartes,Rene,1596,1650
1025,ゲーテヨハン・ヴォルフガング・フォン,1749-08-28,1832-03-22,male,Frankfurt,Goethe,Johann Wolfgang von,1749,1832
1403,北大路魯山人,1883-03-23,1959-12-21,male,京都市,Kitaoji,Rosanjin,1883,1959
93,南方熊楠,1867-05-18,1941-12-29,male,和歌山市,Minakata,Kumagusu,1867,1941
1034,浅野和三郎,1874-08,1937-02-03,male,源清田村 ( -1889),Asano,Wasaburo,1874,1937
1465,東健而,1889-00-00,1933-00-00,male,,Azuma,Kenji,1889,1933
146,種田山頭火,1882-12-03,1940-10-11,male,防府市,Taneda,Santoka,1882,1940
1839,荒木光二郎,,,male,unknown,Araki,Kojiro,,
1264,榎本武揚,1836-10-05,1908-10-26,male,御徒町,Enomoto,Takeaki,1836,1908
354,勝海舟,1823-03-12,1899-01-19,male,両国,Katsu,Kaishu,1823,1899
535,桐生悠々,1873-05-20,1941-09-10,male,金沢市,Kiryu,Yuyu,1873,1941
1257,アーヴィングワシントン,1783-04-03,1859-11-28,male,New York City,Irving,Washington,1783,1859
718,新渡戸稲造,1862-09-01,1933-10-16,male,盛岡市,Nitobe,Inazo,1862,1933
226,アレニウススヴァンテ,1859-02-19,1927-10-02,male,Wik Castle,Arrhenius,Svante,1859,1927
969,杉山萠円,1889-01-04,1936-03-11,male,Tokyo,Sugiyama,Hoen,1889,1936
124,小熊秀雄,1901-09-09,1940-11-20,male,小樽市,Oguma,Hideo,1901,1940
216,直木三十五,1891-02-12,1934-02-24,male,大阪市,Naoki,Sanjugo,1891,1934
154,田中貢太郎,1880-03-02,1941-02-01,male,日本,Tanaka,Kotaro,1880,1941
279,徳冨健次郎,1868-12-08,1927-09-18,male,Minamata,Tokutomi,Kenjiro,1868,1927
997,北条民雄,1914-09-22,1937-12-05,male,京城府,Hojo,Tamio,1914,1937
1216,井原西鶴,1642-00-00,1693-09-09,male,中津村,Ihara,Saikaku,1642,1693
286,野口雨情,1882-05-29,1945-01-27,male,Isohara,Noguchi,Ujo,1882,1945
1579,室生犀星,1889-08-01,1962-03-26,male,金沢市,Murou,Saisei,1889,1962
1189,ジェファーソントマス,1743-04-13,1826-07-04,male,Shadwell,Jefferson,Thomas,1743,1826
1430,ウェルズハーバート・ジョージ,1866-09-21,1946-08-13,male,Bromley,Wells,Herbert George,1866,1946
1320,西郷隆盛,1828-01-23,1877-09-24,male,加治屋町,Saigo,Takamori,1828,1877
57,福田英子,1865-11-22,1927-05-02,female,備前国,Fukuda,Hideko,1865,1927
1085,イエイツウィリアム・バトラー,1865-06-13,1939-01-28,male,Sandymount,Yeats,William Butler,1865,1939
1380,石川欣一,1895-03-17,1959-08-04,unknown,,Ishikawa,Kinichi,1895,1959
207,ゴーゴリニコライ,1809-03-12,1852-02-21,male,Velyki Sorochyntsi,Gogol,Nikolai,1809,1852
1528,日本国,,,unknown,,Nihonkoku,,,
1224,久生十蘭,1902-04-06,1957-10-06,male,函館市,Hisao,Juran,1902,1957
906,豊島与志雄,1890-11-27,1955-06-18,male,福岡県,Toyoshima,Yoshio,1890,1955
968,かぐつちみどり,1889-01-04,1936-03-11,male,Tokyo,Kagutsuchi,Midori,1889,1936
1351,池田蕉園,1886-05-13,1917-12-01,female,神田区,Ikeda,Shoen,1886,1917
351,増田雅子,1880-05-06,1946-09-02,female,Japan,Masuda,Masako,1880,1946
1160,池田菊苗,1864-00-00,1936-05-03,male,京都市,Ikeda,Kikunae,1864,1936
1421,阿部次郎,1883-08-27,1959-10-20,male,,Abe,Jiro,1883,1959
11,立原道造,1914-07-30,1939-03-29,male,東京,Tachihara,Michizo,1914,1939
1869,山本周五郎,1903-06-22,1967-02-14,male,大月市,Yamamoto,Shugoro,1903,1967
827,森本薫,1912-06-04,1946-10-06,male,東淀川区,Morimoto,Kaoru,1912,1946
966,海若藍平,1889-01-04,1936-03-11,male,Tokyo,Kaijaku,Ranpei,1889,1936
1119,岩波茂雄,1881-08-27,1946-04-25,male,諏訪市,Iwanami,Shigeo,1881,1946
1569,中谷宇吉郎,1900-07-04,1962-04-11,male,加賀市,Nakaya,Ukichiro,1900,1962
281,戸坂潤,1900-09-27,1945-08-09,male,東京,Tosaka,Jun,1900,1945
1734,石波杏,1982-00-00,,male,Ibaraki,Ishinami,Kyo,1982,
157,北村透谷,1868-12-29,1894-05-16,male,小田原町,Kitamura,Tokoku,1868,1894
989,三遊亭円朝,1839-05-13,1900-08-11,male,Edo,San'yutei,Encho,1839,1900
1477,陳寿,233-00-00,297-00-00,male,Baxi Jun,Chen,Shou,233,297
1429,石原純,1881-1-15,1947-1-19,male,東京,Ishiwara,Atsushi,1881,1947
726,長谷川時雨,1879-10-01,1941-08-22,female,東京,Hasegawa,Shigure,1879,1941
1011,波多野精一,1877-07-21,1950-01-17,male,松本市,Hatano,Seiichi,1877,1950
981,巌谷小波,1870-07-04,1933-09-05,male,Kōjimachi-ku,Iwaya,Sazanami,1870,1933
136,山村暮鳥,1884-01-10,1924-12-08,male,長岡市,Yamamura,Bocho,1884,1924
261,幸徳秋水,1871-11-05,1911-01-24,male,中村市,Kotoku,Shusui,1871,1911
284,内藤湖南,1866-08-26,1934-06-26,male,毛馬内町,Naito,Konan,1866,1934
1875,壺井栄,1899-08-05,1967-06-23,female,小豆島町,Tsuboi,Sakae,1899,1967
649,田中正造,1841-12-15,1913-09-04,male,佐野市,Tanaka,Shozo,1841,1913
355,上村松園,1875-04-23,1949-08-27,female,京都市,Uemura,Shoen,1875,1949
1277,ガンジーマハトマ,1869-10-02,1948-01-30,male,Porbandar,Gandhi,Mahatma,1869,1948
1311,三好十郎,1902-04-21,1958-12-16,male,佐賀市,Miyoshi,Juro,1902,1958
259,小出楢重,1887-10-13,1931-02-13,male,大阪市,Koide,Narashige,1887,1931
190,大手拓次,1887-12-03,1934-04-18,male,,Ote,Takuji,1887,1934
506,河合栄治郎,1891-02-13,1944-02-15,male,東京都,Kawai,Eijiro,1891,1944
1749,三好達治,1900-08-23,1964-04-05,male,西区,Miyoshi,Tatsuji,1900,1964
1021,井上円了,1858-03-18,1919-06-06,male,来迎寺村,Inoue,Enryo,1858,1919
595,島田清次郎,1899-02-26,1930-04-29,male,白山市,Shimada,Seijiro,1899,1930
1052,久坂葉子,1931-03-27,1952-12-31,female,神戸市,Kusaka,Yoko,1931,1952
1541,高山毅,1911-08-01,1961-10-28,male,unknown,Takayama,Tsuyoshi,1911,1961
1558,古川緑波,1903-08-13,1961-01-16,male,Kōjimachi-ku,Furukawa,Roppa,1903,1961
23,徳田秋声,1872-02-01,1943-11-18,male,金沢市,Tokuda,Shusei,1872,1943
1312,木村荘八,1893-08-21,1958-11-18,male,東京都,Kimura,Shohachi,1893,1958
77,押川春浪,1876-03-21,1914-11-16,male,松山市,Oshikawa,Shunro,1876,1914
1398,高木貞治,1875-04-21,1960-02-28,male,春日村,Takagi,Teiji,1875,1960
61,橋本進吉,1882-12-24,1945-01-30,male,敦賀市,Hashimoto,Shinkichi,1882,1945
1536,桂三木助,1902-03-28,1961-01-16,unknown,,Katsura,Mikisuke,1902,1961
169,大杉栄,1885-01-17,1923-09-16,male,丸亀市,Osugi,Sakae,1885,1923
1570,小倉金之助,1885-03-14,1962-10-21,male,山形県,ogura,kinnosuke,1885,1962
967,香倶土三鳥,1889-01-04,1936-03-11,male,Tokyo,Kagutsuchi,Midori,1889,1936
984,葛西善蔵,1887-01-16,1928-07-23,male,弘前市,Kasai,Zenzo,1887,1928
8,島木健作,1903-09-07,1945-08-17,male,札幌市,Shimaki,Kensaku,1903,1945
89,北一輝,1883-04-03,1937-08-19,male,加茂郡,Kita,Ikki,1883,1937
271,高山樗牛,1871-02-28,1902-12-24,male,鶴岡市,Takayama,Chogyu,1871,1902
1293,小野佐世男,1905-02-06,1954-02-01,male,横浜市,Ono,Saseo,1905,1954
227,生田春月,1892-03-12,1930-05-19,male,,Ikuta,Shungetsu,1892,1930
1520,柳宗悦,1889-03-21,1961-05-03,male,東京都,Yanagi,Muneyoshi,1889,1961
224,小泉節子,1868-02-04,1932-02-18,female,,Koizumi,Setsuko,1868,1932
301,穂積陳重,1855-08-23,1926-04-07,male,宇和島市,Hozumi,Nobushige,1855,1926
922,末弘厳太郎,1888-11-30,1951-09-11,male,山口県,Suehiro,Izutaro,1888,1951
1242,坪井正五郎,1863-02-22,1913-05-26,male,江戸,Tsuboi,Shogoro,1863,1913
1065,高田力,,1950-00-00,male,,Takata,Tsutomu,,1950
1081,土井晩翠,1871-12-05,1952-10-19,male,仙台市,Doi,Bansui,1871,1952
1584,秋田雨雀,1883-01-30,1962-05-12,male,青森県,Akita,Ujyaku,1883,1962
1217,ヴァレリーポール,1871-10-30,1945-07-20,male,Sète,Valery,Paul,1871,1945
564,斎藤秀三郎,1866-02-16,1929-11-09,male,仙台市,Saito,Hidesaburo,1866,1929
416,伊藤野枝,1895-01-21,1923-09-16,female,福岡市,Ito,Noe,1895,1923
1581,正宗白鳥,1879-03-03,1962-10-28,male,備前市,Masamune,Hakucho,1879,1962
1695,飯田蛇笏,1885-04-26,1962-10-03,male,五成村,Iida,Dakotsu,1885,1962
1305,羽志主水,1884-06-03,1957-02-26,male,長野市,hashi,mondo,1884,1957
63,宮武外骨,1867-02-22,1955-07-28,male,讃岐国,Miyatake,Gaikotsu,1867,1955
270,高村光雲,1852-03-08,1934-10-10,male,Shitaya,Takamura,Koun,1852,1934
748,平田晋策,1904-03-06,1936-01-28,male,unknown,Hirata,Shinsaku,1904,1936
1310,高浜虚子,1874-02-22,1959-04-08,male,松山市,Takahama,Kyoshi,1874,1959
1331,秋月種樹,1833-11-28,1904-10-17,male,,Akizuki,Tanetatsu,1833,1904
1166,中井正一,1900-02-14,1952-05-18,male,広島県,Nakai,Masakazu,1900,1952
1568,妹尾アキ夫,1892-03-04,1962-04-19,male,Tsuyama,Senoo,Akio,1892,1962
1313,正岡容,1904-12-20,1958-12-07,male,東京都,Masaoka,Iruru,1904,1958
1344,喜田貞吉,1871-07-11,1939-07-03,male,櫛渕町,Kita,Sadakichi,1871,1939
1648,土谷麓,1914-03-30,1962-09-03,male,unknown,Tsuchiya,Fumoto,1914,1962
340,ガールシンフセヴォロド・ミハイロヴィチ,1855-02-14,1888-04-05,male,Russia,Garshin,Vsevolod Mikhailvich,1855,1888
368,添田唖蝉坊,1872-12-25,1944-02-08,male,Kanagawa Prefecture,Soeda,Azenbo,1872,1944
1420,中山太郎,1876-11-13,1947-06-13,male,大阪市,Nakayama,Taro,1876,1947
1668,西東三鬼,1900-05-15,1962-04-01,male,岡山県,Saito,Sanki,1900,1962
1125,井上紅梅,1881-00-00,1950-00-00,male,,Inoue,Kobai,1881,1950
1263,服部之総,1901-09-24,1956-03-04,male,,Hattori,Shiso,1901,1956
2034,井上基志,,,unknown,unknown,Inoue,Motoshi,,
843,山田美妙,1868-08-25,1910-10-24,male,神田,Yamada,Bimyo,1868,1910
255,国枝史郎,1887-10-10,1943-04-08,male,,Kunieda,Shiro,1887,1943
150,薄田泣菫,1877-05-19,1945-10-09,male,岡山県,Susukida,Kyukin,1877,1945
1248,佐藤垢石,1888-06-18,1956-07-04,male,,Sato,Koseki,1888,1956
1499,外村繁,1902-12-23,1961-07-28,male,東近江市,Tonomura,Shigeru,1902,1961
905,ホーソーンナサニエル,1804-07-04,1864-05-19,male,Salem,Hawthorne,Nathaniel,1804,1864
1488,火野葦平,1907-01-25,1960-01-24,male,北九州市,Hino,Ashihei,1907,1960
310,三上於菟吉,1891-02-04,1944-02-07,male,埼玉県,Mikami,Otokichi,1891,1944
1349,武田祐吉,1886-05-05,1958-03-29,male,東京,Takeda,Yukichi,1886,1958
1468,賀川豊彦,1888-07-10,1960-04-23,male,神戸市,Kagawa,Toyohiko,1888,1960
1143,西尾正,1907-12-12,1949-03-10,male,東京都,Nishio,Tadashi,1907,1949
1487,浅沼稲次郎,1898-12-27,1960-10-12,male,三宅島,Asanuma,Inejiro,1898,1960
1212,中江兆民,1847-12-08,1901-12-13,male,高知市,Nakae,Chomin,1847,1901
1535,津田左右吉,1873-10-03,1961-12-04,male,下米田村,Tsuda,Sokichi,1873,1961
315,森林太郎,1862-02-17,1922-07-09,male,Tsuwano,Mori,Rintaro,1862,1922
1211,清沢満之,1863-08-10,1903-06-06,male,名古屋市,Kiyozawa,Manshi,1863,1903
1669,大倉燁子,1886-04-12,1960-07-18,female,東京都,Okura,Teruko,1886,1960
1153,長岡半太郎,1865-08-19,1950-12-11,male,大村市,Nagaoka,Hantaro,1865,1950
289,浜尾四郎,1896-04-24,1935-10-29,male,Kōjimachi-ku,Hamao,Shiro,1896,1935
248,上司小剣,1874-12-15,1947-09-02,male,,Kamitsukasa,Shoken,1874,1947
1205,下村千秋,1893-09-04,1955-01-31,male,,Shimomura,Chiaki,1893,1955
810,村井弦斎,1863-12-18,1927-07-30,male,,Murai,Gensai,1863,1927
1157,神西清,1903-11-15,1957-03-11,male,東京市,Jinzai,Kiyoshi,1903,1957
1578,今村明恒,1870-06-14,1948-01-01,male,鹿児島市,Imamura,Akitsune,1870,1948
1127,狩野直喜,1868-02-11,1947-12-13,male,肥後国,Kano,Naoki,1868,1947
276,知里幸恵,1903-06-08,1922-09-18,female,登別市,Chiri,Yukie,1903,1922
1539,片山敏彦,1898-11-05,1961-10-11,male,,Katayama,Toshihiko,1898,1961
320,与謝野寛,1873-02-26,1935-03-26,male,Okazaki,Yosano,Hiroshi,1873,1935
1612,江森盛弥,1903-08-18,1960-04-05,unknown,unknown,Emori,Moriya,1903,1960
525,木下尚江,1869-10-12,1937-11-05,male,松本市,Kinoshita,Naoe,1869,1937
325,蘭郁二郎,1913-09-02,1944-01-05,male,東京都,Ran,Ikujiro,1913,1944
1397,橘外男,1894-10-10,1959-07-09,male,,Tachibana,Sotoo,1894,1959
1142,酒井嘉七,1903-00-00,1946-00-00,male,,Sakai,Kashichi,1903,1946
1454,伊藤永之介,1903-11-21,1959-07-26,male,秋田市,Ito,Einosuke,1903,1959
1425,小寺菊子,1883-08-07,1956-11-26,female,,Kodera,Kikuko,1883,1956
260,甲賀三郎,1893-10-05,1945-02-14,male,日野町,Koga,Saburo,1893,1945
268,関根金次郎,1868-04-01,1946-03-12,male,Chiba Prefecture,Sekine,Kinjiro,1868,1946
1399,マクラウドフィオナ,1855-09-12,1905-12-12,male,Paisley,Macleod,Fiona,1855,1905
1325,上村経吉,1868-04-28,1922-11-21,male,Japan,Uemura,Tsunekichi,1868,1922
1326,小笠原長生,1867-12-15,1958-09-20,male,佐賀県,Ogasawara,Nganari,1867,1958
236,大阪圭吉,1912-03-20,1945-07-02,male,新城市,Osaka,Keikichi,1912,1945
1346,片山広子,1878-02-10,1957-03-19,female,東京,Katayama,Hiroko,1878,1957
1486,佐藤緑葉,1886-07-01,1960-09-02,male,,Sto,Ryokuyo,1886,1960
262,小酒井不木,1890-10-08,1929-04-01,male,愛知県,Kosakai,Fuboku,1890,1929
1179,土田耕平,1895-01-25,1940-08-12,male,,Tsuchida,Kohei,1895,1940
1497,吉井勇,1886-10-08,1960-11-19,male,東京,Yoshii,Isamu,1886,1960
1054,浜田青陵,1881-02-22,1938-07-25,male,Kishiwada,Hamada,Seiryo,1881,1938
740,原口統三,1927-01-14,1946-10-25,male,,Haraguchi,Tozo,1927,1946
1479,風巻景次郎,1902-05-22,1960-01-04,male,兵庫県,Kazamaki,Keijiro,1902,1960
95,佐々木直次郎,1901-03-27,1943-05-24,male,小松市,Sasaki,Naojiro,1901,1943
241,小栗風葉,1875-02-03,1926-01-15,male,半田市,Oguri,Fuyo,1875,1926
1195,ダビットヤーコプ・ユリウス,1859-00-00,1906-00-00,male,Hranice,David,Jakob Julius,1859,1906
1372,柴崎芳太郎,1876-08-13,1938-01-29,male,,Shibazaki,Yoshitaro,1876,1938
684,内藤鳴雪,1847-05-29,1926-02-20,male,江戸,Naito,Meisetsu,1847,1926
1190,アルテンベルクペーター,1859-03-09,1919-01-08,male,Austria,ALTENBERG,PETER,1859,1919
252,金史良,1914-03-03,1950-00-00,male,Pyongyang,Kim,Sa-ryang,1914,1950
488,小柳司気太,1870-12-24,1940-07-18,male,,Oyanagi,Shigeta,1870,1940
275,近松秋江,1876-05-04,1944-04-23,male,岡山県,Chikamatsu,Shuko,1876,1944
1193,オイレンベルクヘルベルト,1876-01-25,1949-09-04,male,Cologne,Eulenberg,Herbert,1876,1949
1308,徳永直,1899-01-20,1958-02-15,male,花園村,Tokunaga,Sunao,1899,1958
1192,ホーフマンスタールフーゴー・フォン,1874-02-01,1929-07-15,male,Vienna,Hofmannsthal,Hugo von,1874,1929
978,竹越与三郎,1865-11-22,1950-01-12,male,Honjō-shuku,Takekoshi,Yosaburo,1865,1950
1272,溝口健二,1898-05-16,1956-08-24,male,東京都,Mizoguchi,Kenji,1898,1956
